"Leg","City","Region","Title","Description","Ideal for","How to get there","Cost","Category","Reach","Adventure","Website","Google Maps","Photo"
"3","Monterosso","Liguria","Monterosso beach + the coastal ferry","The one real Cinque Terre beach — swim, then hop a boat past the cliffs.","keir","Train ~50 min from Chiavari; ferry between villages","Ferry ~€20pp day","water","In town","","","https://www.google.com/maps/search/?api=1&query=Monterosso%20beach%20%2B%20the%20coastal%20ferry%20Monterosso%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Monterosso_al_Mare-panorama-Fegina1.jpg?width=800"
"3","Portofino","Liguria","Portofino Park family mountain-bike day","Guided off-road MTB in the Parco di Portofino and the Tigullio hills — panoramic climbs and forest/coast descents; a guide picks kid-safe lines.","keir · rhys · all","Guided from your Chiavari base (operators meet in Chiavari/Sestri/Santa Margherita) — no car needed. Pre-confirm a 20""/24"" kid MTB for Keir.","~€60-90pp half-day (private for 6 ~€350-500)","bike","In town","★","https://www.portofinocoast.it/en/categories/mtb-tour-in-portofino-natural-park/","https://www.google.com/maps/search/?api=1&query=Portofino%20Park%20family%20mountain-bike%20day%20Portofino%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Portofino_harbor.jpg?width=640"
"3","Portovenere","Liguria","Portovenere & the Byron Grotto","Pastel houses, the cliff-edge church of San Pietro and Byron's Grotto below — gateway to the Muzzerone sea-cliffs.","all","Train to La Spezia + boat/bus to Portovenere","Ferry ~€15pp","water","In town","★","https://www.navigazionegolfodeipoeti.it/","https://www.google.com/maps/search/?api=1&query=Portovenere%20%26%20the%20Byron%20Grotto%20Portovenere%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Portovenere_harbour_and_Doria_Castle,_Liguria,_Italy,_April_2026.jpg?width=800"
"3","Ligurian coast","Liguria","Rest and beach day on the Tigullio","A no-travel day on Chiavari's broad beach and seafront promenade, drifting the arcaded medieval caruggi with gelato.","all","On foot in Chiavari — zero trains","","water","In town","","https://www.comune.chiavari.ge.it/","https://www.google.com/maps/search/?api=1&query=Rest%20and%20beach%20day%20on%20the%20Tigullio%20Ligurian%20coast%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Portofino_view_from_above_(Quintin_Soloviev).jpg?width=640"
"3","Chiavari","Liguria","Seafront trattoria di mare, Chiavari","Waterfront trattoria in the base town — fritto misto, catch of the day, Ligurian pasta; book a table for six for Rhys's 18th.","all","On foot in Chiavari, the coast base town — no transport needed.","","dining","In town","","","https://www.google.com/maps/search/?api=1&query=Seafront%20trattoria%20di%20mare%2C%20Chiavari%20Chiavari%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Chiavari-centro_storico.JPG?width=640"
"3","Cinque Terre","Liguria","A stretch of the Blue Trail","Walk just one leg — Monterosso-Vernazza is the classic scenic coastal hike; segments close after rain.","rhys · jude","Train to Monterosso, hike one leg, train the rest","","nature","Day-trip","","https://www.parconazionale5terre.it/sentieri.php","https://www.google.com/maps/search/?api=1&query=A%20stretch%20of%20the%20Blue%20Trail%20Cinque%20Terre%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Vernazza,_Cinque_Terre_(panorama).jpg?width=640"
"3","Cinque Terre","Liguria","A swim / small-boat day","Blue-flag coves — swim the Manarola cove, jump the rocks at Vernazza, or split a half-day private boat to hidden swim spots.","all","Boats/coves reached from the Cinque Terre villages","","water","Day-trip","","","https://www.google.com/maps/search/?api=1&query=A%20swim%20%2F%20small-boat%20day%20Cinque%20Terre%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Vernazza,_Cinque_Terre_(panorama).jpg?width=640"
"3","Apuan Alps","Tuscany","Antro del Corchia — Apuan Alps cave","A huge karst cave system inside the marble mountains. Rockhound heaven.","jude","Day-trip — train toward Carrara + bus/taxi up; long","~€12pp","caves","Day-trip","★","","https://www.google.com/maps/search/?api=1&query=Antro%20del%20Corchia%20%E2%80%94%20Apuan%20Alps%20cave%20Apuan%20Alps%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Alpi_Apuane_Panorama.jpg?width=640"
"3","Sestri Levante","Liguria","Baia del Silenzio, Sestri Levante","A Michelin-listed kitchen right on the Bay of Silence — the polished, grown-up way to mark 18; tightest on budget.","keir · grey · all","Train 10 min east from Chiavari to Sestri Levante","~€680-760 for 6","water","Day-trip","★","https://www.sestri-levante.net/","https://www.google.com/maps/search/?api=1&query=Baia%20del%20Silenzio%2C%20Sestri%20Levante%20Sestri%20Levante%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Sestri_Levante_baia_del_silenzio_al_tramonto.jpg?width=640"
"3","Camogli","Liguria","Camogli + the Portofino headland","Tall trompe-l'oeil painted houses over a working fishing harbor, quieter than Portofino; pebble-beach swim and fried anchovies.","all","Train ~25 min west from Chiavari to Camogli","","sight","Day-trip","","https://www.visitgenoa.it/en/camogli","https://www.google.com/maps/search/?api=1&query=Camogli%20%2B%20the%20Portofino%20headland%20Camogli%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Camogli_panorama_07.jpg?width=640"
"3","Camogli","Liguria","Camogli to San Fruttuoso by boat","Little ferry around the Portofino headland to a road-less medieval abbey on the beach, with a swim and the Christ of the Abyss offshore.","all","Train ~25 min west to Camogli, then ferry around the headland (calm-sea day)","","whoa","Day-trip","★","https://www.visitgenoa.it/en/abbey-san-fruttuoso","https://www.google.com/maps/search/?api=1&query=Camogli%20to%20San%20Fruttuoso%20by%20boat%20Camogli%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Camogli_panorama_07.jpg?width=640"
"3","San Fruttuoso","Liguria","Christ of the Abyss snorkel, San Fruttuoso","A bronze Christ stands on the seabed off the abbey cove; strong swimmers snorkel out, or peer down from a glass-bottom boat.","all","Ferry to San Fruttuoso from Camogli/S. Margherita, then snorkel or glass-bottom boat","","water","Day-trip","","https://www.visitgenoa.it/en/abbey-san-fruttuoso","https://www.google.com/maps/search/?api=1&query=Christ%20of%20the%20Abyss%20snorkel%2C%20San%20Fruttuoso%20San%20Fruttuoso%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Abbey_of_San_Fruttuoso_Camogli_Liguria.jpg?width=640"
"3","San Fruttuoso","Liguria","Da Giovanni · abbey cove","Tables on the boat-only beach beside a 10th-century abbey — a spectacular birthday LUNCH, since the last ferry out is ~5-6pm.","all","Ferry from Camogli or Santa Margherita; confirm return boat time","~€40-55pp","dining","Day-trip","★","","https://www.google.com/maps/search/?api=1&query=Da%20Giovanni%20%C2%B7%20abbey%20cove%20San%20Fruttuoso%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Abbey_of_San_Fruttuoso_Camogli_Liguria.jpg?width=640"
"3","Cinque Terre","Liguria","Ferry + gelato-and-focaccia crawl","Let the boat do the walking — hop two or three villages by ferry with a focaccia slice and gelato in each.","all","Village-to-village by ferry","","food","Day-trip","","https://www.navigazionegolfodeipoeti.it/","https://www.google.com/maps/search/?api=1&query=Ferry%20%2B%20gelato-and-focaccia%20crawl%20Cinque%20Terre%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Vernazza,_Cinque_Terre_(panorama).jpg?width=640"
"3","Finale Ligure","Liguria","Finale Ligure — kids' MTB school (ages 7–11)","World MTB hub; a children's mountain-bike school on the Manie plateau (coached by a multi-time world champ) plus shuttle-served flow trails for the big brothers.","keir · rhys","~2h west by train (Finale Ligure Marina) + shuttle up to the plateau — a dedicated day. Schools supply age-right bikes.","Kids' school day ~€60-100pp; shuttle days ~€35-50pp","bike","Day-trip","","https://visitfinaleligure.it/en/things-to-do-in-finale-ligure/bike-school/","https://www.google.com/maps/search/?api=1&query=Finale%20Ligure%20%E2%80%94%20kids'%20MTB%20school%20(ages%207%E2%80%9311)%20Finale%20Ligure%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Portofino_view_from_above_(Quintin_Soloviev).jpg?width=640"
"3","Recco","Liguria","Focaccia di Recco and the pesto homeland","Eat molten-cheese focaccia di Recco (IGP), farinata, and trofie al pesto in pesto's actual birthplace.","all","Recco sits right on the Chiavari rail line","","food","Day-trip","","","https://www.google.com/maps/search/?api=1&query=Focaccia%20di%20Recco%20and%20the%20pesto%20homeland%20Recco%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Recco-panorama_da_Caravaggio.jpg?width=640"
"3","Genoa","Liguria","Genova Aquarium","Italy's biggest aquarium — sharks, dolphins, a rainforest biosphere.","keir","Day-trip — train to Genoa, Porto Antico","~€27pp","water","Day-trip","","","https://www.google.com/maps/search/?api=1&query=Genova%20Aquarium%20Genoa%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Genoa_Panorama.jpg?width=640"
"3","Genoa","Liguria","Genova Righi Adventure Park","A ropes course strung among Genoa's old hilltop fortifications.","rhys","Day-trip — train to Genoa + Zecca–Righi funicular","~€20–30pp","thrill","Day-trip","","","https://www.google.com/maps/search/?api=1&query=Genova%20Righi%20Adventure%20Park%20Genoa%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Genoa_Panorama.jpg?width=640"
"3","Equi Terme","Tuscany","Grotte di Equi","Caves right in the Apuan Alps.","jude","Day-trip — regional train to Equi Terme","~€10pp","caves","Day-trip","","","https://www.google.com/maps/search/?api=1&query=Grotte%20di%20Equi%20Equi%20Terme%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Equi_Terme-panorama.jpg?width=640"
"3","Vernazza","Liguria","Guvano and hidden coves by kayak","Paddle to road-less Guvano beach and inlets like Canneto and Fossola, or the hidden grotto by Vernazza — swim where crowds can't reach.","keir · rhys","Rent a kayak or water taxi from Vernazza or Monterosso, weather-dependent","","secret","Day-trip","","https://cinqueterredalmare.com/en/","https://www.google.com/maps/search/?api=1&query=Guvano%20and%20hidden%20coves%20by%20kayak%20Vernazza%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Vernazza,_Cinque_Terre,_Italy.jpg?width=640"
"3","Monterosso","Liguria","Il Gigante, the bombed sea-god","A 46-foot 1910 concrete Neptune half-melted into the cliff — arms and trident torn off by WWII bombing; restored 2022.","jude","5-min walk from Monterosso station on the Fegina seafront","free","weird","Day-trip","","https://www.lecinqueterre.org/eng/arte/monterossostatuagigante.php","https://www.google.com/maps/search/?api=1&query=Il%20Gigante%2C%20the%20bombed%20sea-god%20Monterosso%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Monterosso_al_Mare_seen_from_near_Punta_Mesco_20190913.jpg?width=640"
"3","Santa Margherita","Liguria","L'Altro Eden","Boat-fresh Santa Margherita seafood in a harbor town with the easiest late train home — the low-stress 'safe special'.","all","Train Chiavari to Santa Margherita 11-13 min, ~45/day","~€430-520 for 6","dining","Day-trip","","","https://www.google.com/maps/search/?api=1&query=L'Altro%20Eden%20Santa%20Margherita%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Santa_Margherita_Ligure,_Italy.jpg?width=640"
"3","Sestri Levante","Liguria","Michelin room on the Bay of Silence","Michelin-listed dining room overlooking the Baia del Silenzio at Sestri Levante.","all","Train from Chiavari to Sestri Levante.","","dining","Day-trip","","","https://www.google.com/maps/search/?api=1&query=Michelin%20room%20on%20the%20Bay%20of%20Silence%20Sestri%20Levante%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Sestri_Levante_baia_del_silenzio_al_tramonto.jpg?width=640"
"3","Monterosso","Liguria","Monterosso's salt-cured anchovies","Slow Food Presidium anchovies packed in salt in chestnut barrels — fresh and buttery on warm focaccia; a Sept festival too.","grey","Monterosso trattorias and the September Sagra delle Acciughe Salate","","food","Day-trip","","https://www.lecinqueterre.org/eng/cucina/acciughe.php","https://www.google.com/maps/search/?api=1&query=Monterosso's%20salt-cured%20anchovies%20Monterosso%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Monterosso_al_Mare-panorama-Fegina1.jpg?width=800"
"3","Sestri Levante","Liguria","Ristorante dei Castelli","Rhys's 18th on a medieval-castle terrace above both of Sestri's bays at sunset; order the catch of the day — no last-train stress.","all","Train Chiavari to Sestri Levante 5-17 min, ~52/day","~€480-560 for 6","dining","Day-trip","★","","https://www.google.com/maps/search/?api=1&query=Ristorante%20dei%20Castelli%20Sestri%20Levante%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Sestri_Levante_baia_del_silenzio_al_tramonto.jpg?width=640"
"3","Camogli","Liguria","Ristorante La Camogliese","A wooden veranda built out over the rocks in Camogli, sunset over the Golfo Paradiso; local anchovies, day's catch, trofie al pesto.","all","Train Chiavari to Camogli 15-20 min; reserve the veranda","~€380-450 for 6","dining","Day-trip","","","https://www.google.com/maps/search/?api=1&query=Ristorante%20La%20Camogliese%20Camogli%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Camogli_panorama_07.jpg?width=640"
"3","Portofino","Liguria","Santa Margherita / Portofino harbour dinner","Dressy Riviera-postcard dinner over the harbour — the glam splurge option for the 18th.","all","Short train to Santa Margherita Ligure, then bus/boat to Portofino.","","dining","Day-trip","","","https://www.google.com/maps/search/?api=1&query=Santa%20Margherita%20%2F%20Portofino%20harbour%20dinner%20Portofino%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Portofino_harbor.jpg?width=640"
"3","Manarola","Liguria","Sciacchetra and a terrace aperitivo","The Cinque Terre's cult sweet wine from terrace-dried grapes; find a tasting or take a spritz to a cliff terrace at golden hour.","all","Tastings in Manarola or Riomaggiore via the Cinque Terre Card","","food","Day-trip","","https://www.parconazionale5terre.it/","https://www.google.com/maps/search/?api=1&query=Sciacchetra%20and%20a%20terrace%20aperitivo%20Manarola%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Manarola_After_Sunset_(231762111).jpeg?width=640"
"3","Volastra","Liguria","The vineyard monorail trains","One-person cog-rail monorails on stilts haul grapes down near-vertical terraces; mid-Sept harvest means they're running.","jude","Short train + walk to Volastra above Manarola; book a cellar visit","","machines","Day-trip","","https://www.ilvigneto5terre.com/en/","https://www.google.com/maps/search/?api=1&query=The%20vineyard%20monorail%20trains%20Volastra%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Vineyards_Terraces_Volastra_Cinque_Terre_Sep23_A7C_06780.jpg?width=640"
"3","Cinque Terre","Liguria","The Way of the Sanctuaries","Hilltop shrines above each village — Soviore over Monterosso is Liguria's oldest — linked by steep dry-stone trails with high, quiet views.","jude","Park trails climbing from each village, free; check trail status","","church","Day-trip","","https://www.parconazionale5terre.it/","https://www.google.com/maps/search/?api=1&query=The%20Way%20of%20the%20Sanctuaries%20Cinque%20Terre%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Vernazza,_Cinque_Terre_(panorama).jpg?width=640"
"3","Monterosso","Liguria","Torre Aurora, the pirate watchtower","A ~year-1000 anti-Saracen watchtower on the headland, now a tiny cliff-edge lounge with 360 sea terraces for a sunset glass.","rhys","Walk-up terrace in Monterosso; book a table for sunset","","castle","Day-trip","","https://torreauroracinqueterre.it/en/","https://www.google.com/maps/search/?api=1&query=Torre%20Aurora%2C%20the%20pirate%20watchtower%20Monterosso%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Monterosso_al_Mare_seen_from_near_Punta_Mesco_20190913.jpg?width=640"
"3","Cinque Terre","Liguria","Via dell'Amore, finally reopened","The cliff-blasted lovers' walk between Riomaggiore and Manarola, shut 12 years, reopened 2024 — a short jaw-dropping sea ledge.","all","On the Cinque Terre Card but needs a timed 30-min entry slot","","rock","Day-trip","","https://www.viadellamore.info/en/","https://www.google.com/maps/search/?api=1&query=Via%20dell'Amore%2C%20finally%20reopened%20Cinque%20Terre%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Vernazza,_Cinque_Terre_(panorama).jpg?width=640"
"3","Ligurian coast","Liguria","Village-hopping by ferry","See the coast from the water: ferries link the Cinque Terre villages (bar Corniglia) and the Tigullio boats connect Chiavari, Portofino and Camogli.","all","Golfo dei Poeti / Tigullio ferries from coastal stations","","transport","Day-trip","","https://www.navigazionegolfodeipoeti.it/","https://www.google.com/maps/search/?api=1&query=Village-hopping%20by%20ferry%20Ligurian%20coast%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Portofino_view_from_above_(Quintin_Soloviev).jpg?width=640"
"3","Vernazza","Liguria","Ristorante Belforte","Tables built into a 1,000-year tower on Vernazza's cliff-tip hanging over the crashing sea — the most dramatic table on the coast.","all","Train ~1h+ with one change; check the last train home. Closed Tue","~€300-380 for 6","dining","Far · own trip","","https://www.ristorantebelforte.it/","https://www.google.com/maps/search/?api=1&query=Ristorante%20Belforte%20Vernazza%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Vernazza,_Cinque_Terre,_Italy.jpg?width=640"
"3","Portovenere","Liguria","Sea-cliff climbing at Muzzerone","A crag dropping straight into the Gulf of Poets — one of Italy's classic sea-cliff climbing spots, guided for total beginners up.","rhys · keir","Boat/bus to Portovenere; book a guided half-day","","thrill","Far · own trip","","https://www.arbaspaa.com/tour/rock-climbing-with-stunning-views","https://www.google.com/maps/search/?api=1&query=Sea-cliff%20climbing%20at%20Muzzerone%20Portovenere%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Portovenere_veduta.jpg?width=640"
"4","Carrara","Tuscany","Carrara — 4×4 marble quarry tour","Ride a Land Rover into the working white-marble quarries. The operator can hold your bags.","jude","On the Chiavari→Florence train day — meet 7-min walk from Carrara-Avenza station","~€30pp (kids less)","detour","On the way","★","","https://www.google.com/maps/search/?api=1&query=Carrara%20%E2%80%94%204%C3%974%20marble%20quarry%20tour%20Carrara%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Carrara_marble_quarry_face.jpg?width=800"
"4","Pietrasanta","Tuscany","Pietrasanta — the marble-carving town","Sculptors' studios, bronze foundries, the free Museo dei Bozzetti.","jude","On the Chiavari→Florence day — historic centre across from the station","Free (museum)","craft","On the way","","","https://www.google.com/maps/search/?api=1&query=Pietrasanta%20%E2%80%94%20the%20marble-carving%20town%20Pietrasanta%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Piazza_Duomo_(Pietrasanta).jpg?width=800"
"4","Pisa","Tuscany","Pisa — leaning tower + the death fresco","Climb Pisa's famous leaning tower; easy day trip by rail from Florence.","all","On the Chiavari→Florence day — you change at Pisa; bag storage at the station","Tower ~€20pp","detour","On the way","","","https://www.google.com/maps/search/?api=1&query=Pisa%20%E2%80%94%20leaning%20tower%20%2B%20the%20death%20fresco%20Pisa%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/The_Duomo_and_Tower_of_Pisa_at_sunrise.jpg?width=640"
"4","Florence","Tuscany","AquaFlor — build your own perfume","Master perfumer walks you through 100+ essences to blend and bottle your own fragrance near Santa Croce; ~90 min.","rhys","In Florence — walkable, near Santa Croce","","craft","In town","★","https://www.aquaflorexperience.com/en/","https://www.google.com/maps/search/?api=1&query=AquaFlor%20%E2%80%94%20build%20your%20own%20perfume%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Firenze_Panorama_del_Centro_con_il_Duomo_e_Palazzo_Vecchio.jpg?width=640"
"4","Florence","Tuscany","Bargello sculpture museum","Donatello's David and great Renaissance sculpture in a former prison palace; calm and uncrowded. Under-18s free.","all","In Florence — walkable in the centre","","art","In town","","https://www.bargellomusei.it/en/","https://www.google.com/maps/search/?api=1&query=Bargello%20sculpture%20museum%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Firenze_Panorama_del_Centro_con_il_Duomo_e_Palazzo_Vecchio.jpg?width=640"
"4","Florence","Tuscany","Boboli and Bardini gardens","Statues, grottoes and plants for Kei's botany; Bardini's wisteria terrace has the best rooftop view of the city.","all","In Florence — ~10 min walk to Pitti/Boboli from base","","nature","In town","","https://www.uffizi.it/en/boboli-garden","https://www.google.com/maps/search/?api=1&query=Boboli%20and%20Bardini%20gardens%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Firenze_Panorama_del_Centro_con_il_Duomo_e_Palazzo_Vecchio.jpg?width=640"
"4","Florence","Tuscany","Brancacci Chapel + Oltrarno + Santo Spirito","Masaccio's Renaissance-launching frescoes, a wander through the artisan quarter, then a Santo Spirito aperitivo.","all","In Florence — Oltrarno, ~3 min walk from San Frediano base","","church","In town","","https://cappellabrancacci.musei.comune.fi.it/","https://www.google.com/maps/search/?api=1&query=Brancacci%20Chapel%20%2B%20Oltrarno%20%2B%20Santo%20Spirito%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Firenze_Panorama_del_Centro_con_il_Duomo_e_Palazzo_Vecchio.jpg?width=640"
"4","Florence","Tuscany","Brunelleschi's dome climb","Climb Brunelleschi's 463-step dome and/or Giotto's campanile for the rival view; book the timed dome slot well ahead.","all","In Florence — walkable; book a timed slot","~€30pp (Brunelleschi pass)","whoa","In town","★","https://duomo.firenze.it/en/home","https://www.google.com/maps/search/?api=1&query=Brunelleschi's%20dome%20climb%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Cupola_di_santa_maria_del_fiore_dal_campanile_di_giotto,_01.JPG?width=800"
"4","Florence","Tuscany","Buchette del vino — the wine windows","Tiny 1500s arched wall hatches once used to sell wine tax-free; a few pour again — Babae on Via Santo Spirito is near base.","grey · keir · rhys","In Florence — self-guided walk; Babae is near San Frediano base","Free to spot","hunt","In town","","https://www.buchettedelvino.org/","https://www.google.com/maps/search/?api=1&query=Buchette%20del%20vino%20%E2%80%94%20the%20wine%20windows%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Firenze_Panorama_del_Centro_con_il_Duomo_e_Palazzo_Vecchio.jpg?width=640"
"4","Florence","Tuscany","Florentine paper-marbling workshop","Swirl and make your own marbled paper by hand.","grey","In Florence — central studios","varies","craft","In town","","","https://www.google.com/maps/search/?api=1&query=Florentine%20paper-marbling%20workshop%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Firenze_Panorama_del_Centro_con_il_Duomo_e_Palazzo_Vecchio.jpg?width=640"
"4","Florence","Tuscany","Fresh pasta + gelato class","Hand-roll sfoglia and fold tortellini and tagliatelle at La Vecchia Scuola Bolognese or a Cesarine home class; book ahead.","grey · all","In Florence — central","~€70pp","food","In town","★","https://www.florencetown.com/","https://www.google.com/maps/search/?api=1&query=Fresh%20pasta%20%2B%20gelato%20class%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Firenze_Panorama_del_Centro_con_il_Duomo_e_Palazzo_Vecchio.jpg?width=640"
"4","Florence","Tuscany","Hands-on artisan workshop","Make something by hand: leather at Scuola del Cuoio, paper-marbling, bookbinding, mosaic or metal-embossing in the Oltrarno.","all","In Florence — Oltrarno, walkable from San Frediano base","","craft","In town","★","https://www.scuoladelcuoio.com/en/","https://www.google.com/maps/search/?api=1&query=Hands-on%20artisan%20workshop%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Firenze_Panorama_del_Centro_con_il_Duomo_e_Palazzo_Vecchio.jpg?width=640"
"4","Florence","Tuscany","HZERO — miniature railway world","Enormous, obsessively detailed model railway and miniature city with trains and day-to-night lighting, in Palazzo Bombicci.","keir · grey","In Florence — walkable in the centre","","machines","In town","","https://www.hzero.com/en/","https://www.google.com/maps/search/?api=1&query=HZERO%20%E2%80%94%20miniature%20railway%20world%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Firenze_Panorama_del_Centro_con_il_Duomo_e_Palazzo_Vecchio.jpg?width=640"
"4","Florence","Tuscany","Il Porcellino — rub the boar's nose","Bronze boar in Mercato Nuovo; drop a coin through the grate for luck and rub his snout to guarantee a return to Florence.","keir · grey","In Florence — 30-second detour by the leather market","Free","detour","In town","","https://www.visittuscany.com/en/attractions/porcellino-fountain-in-florence/","https://www.google.com/maps/search/?api=1&query=Il%20Porcellino%20%E2%80%94%20rub%20the%20boar's%20nose%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Firenze_Panorama_del_Centro_con_il_Duomo_e_Palazzo_Vecchio.jpg?width=640"
"4","Florence","Tuscany","La Specola — minerals + anatomical waxes","Taxidermy rooms and famed 18th-century wax anatomical models; newly reopened after restoration.","jude · rhys","In Florence — ~10-min walk from your door","~€10pp · under-18 €5","rock","In town","★","https://www.msn.unifi.it/","https://www.google.com/maps/search/?api=1&query=La%20Specola%20%E2%80%94%20minerals%20%2B%20anatomical%20waxes%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Universit%C3%A0_di_Firenze_Museo_Zoologico_%22La_Specola%22_(89368).jpg?width=800"
"4","Florence","Tuscany","Le Arti Orafe — set your own gemstone","Set a real gemstone onto a silver ring and take it home.","jude","In Florence — Oltrarno, walkable","Class ~€90pp","craft","In town","","https://artiorafe.it/en/craft-experience/","https://www.google.com/maps/search/?api=1&query=Le%20Arti%20Orafe%20%E2%80%94%20set%20your%20own%20gemstone%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Firenze_Panorama_del_Centro_con_il_Duomo_e_Palazzo_Vecchio.jpg?width=640"
"4","Florence","Tuscany","Mercato Centrale + San Lorenzo + gelato crawl","Graze the upstairs food hall, browse San Lorenzo leather stalls, and run a gelato crawl (Vivoli, Perche No!, della Passera).","grey · jude","In Florence — walkable, near San Lorenzo","","market","In town","","https://www.mercatocentrale.com/florence/","https://www.google.com/maps/search/?api=1&query=Mercato%20Centrale%20%2B%20San%20Lorenzo%20%2B%20gelato%20crawl%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Firenze_Panorama_del_Centro_con_il_Duomo_e_Palazzo_Vecchio.jpg?width=640"
"4","Florence","Tuscany","Museo Galileo","Astrolabes, armillary spheres, early automata, Galileo's own telescopes, and his preserved finger in a glass egg.","all","In Florence — by the Uffizi, walkable","~€10pp","machines","In town","★","https://www.museogalileo.it/en/","https://www.google.com/maps/search/?api=1&query=Museo%20Galileo%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Firenze_Panorama_del_Centro_con_il_Duomo_e_Palazzo_Vecchio.jpg?width=640"
"4","Florence","Tuscany","Officina di Santa Maria Novella — world's oldest pharmacy","Dominican friars have brewed elixirs and perfumes here since 1221; frescoed sales rooms, old jars and a little museum.","all","In Florence — walkable, by the train station","Free entry","weird","In town","","https://smnovella.com/","https://www.google.com/maps/search/?api=1&query=Officina%20di%20Santa%20Maria%20Novella%20%E2%80%94%20world's%20oldest%20pharmacy%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Firenze_Panorama_del_Centro_con_il_Duomo_e_Palazzo_Vecchio.jpg?width=640"
"4","Florence","Tuscany","ONE big-hitter: Uffizi OR Accademia","Pick one: Botticelli's Birth of Venus and Primavera at the Uffizi, or Michelangelo's David at the Accademia. Under-18s free.","all","In Florence — both walkable in the centre","","art","In town","★","https://www.uffizi.it/en","https://www.google.com/maps/search/?api=1&query=ONE%20big-hitter%3A%20Uffizi%20OR%20Accademia%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Firenze_Panorama_del_Centro_con_il_Duomo_e_Palazzo_Vecchio.jpg?width=640"
"4","Florence","Tuscany","Palazzo Vecchio — secret passages","Book the secret-passages / Monster tour through hidden staircases behind the state rooms, then climb the Arnolfo tower.","all","In Florence — Piazza della Signoria, walkable","~€20pp tour","secret","In town","★","https://cultura.comune.fi.it/pagina/i-musei-civici-fiorentini/palazzo-vecchio","https://www.google.com/maps/search/?api=1&query=Palazzo%20Vecchio%20%E2%80%94%20secret%20passages%20Florence%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Palazzo_vecchio_Florence.jpg?width=800"
